
Institution Logo
Lab Name

    Session

    Cancel
    Finish Session
    logout
    Logout
    help
    Help
    feedback
    Contact Support

Heli 2

Session Time
In Session: 00 : 05 : 03
Remaining:
00 : 04 : 57

Serial output
Serial output ...

-52, 8761

-53, 8781

-22, 8801

21, 8821

46, 8841

46, 8861

36, 8881

18, 8901

-10, 8921

-44, 8941

-57, 8961

-38, 8981

5, 9001

39, 9021

50, 9041

42, 9061

26, 9081

2, 9101

-32, 9121

-58, 9141

-50, 9161

-16, 9181

24, 9201

45, 9221

44, 9241

32, 9261

12, 9281

-18, 9301

-51, 9321

-56, 9341

-28, 9361

15, 9381

44, 9401

48, 9421

40, 9441

22, 9461

-5, 9481

-39, 9501

-60, 9521

-44, 9541

-2, 9561

36, 9581

51, 9601

46, 9621

32, 9641

9, 9661

-6, 20

-22, 40

-58, 60

-61, 80

-28, 100

22, 120

55, 140

62, 160

54, 180

37, 200

10, 220

-24, 240

-58, 260

-58, 280

-25, 300

26, 320

60, 340

69, 360

62, 380

47, 400

23, 420

-9, 440

-46, 460

-63, 480

-43, 500

2, 520

46, 540

64, 560

60, 580

48, 600

26, 620

-4, 640

-42, 660

-62, 680

-46, 700

-2, 720

42, 740

62, 760

60, 780

48, 800

28, 820

0, 840

-37, 860

-61, 880

-50, 900

-9, 920

37, 940

60, 960

start

-4, 1041

-40, 1061

-61, 1081

-46, 1101

-3, 1121

40, 1141

58, 1161

54, 1181

42, 1201

21, 1221

-9, 1241

-44, 1261

-60, 1281

-38, 1301

8, 1321

46, 1341

59, 1361

54, 1381

40, 1401

17, 1421

-14, 1441

-49, 1461

-58, 1481

-34, 1501

12, 1521

48, 1541

57, 1561

50, 1581

end [2000]

start

-52, 5601

-70, 5621

-60, 5641

-21, 5661

31, 5681

66, 5701

73, 5721

64, 5741

49, 5761

26, 5781

-8, 5801

-46, 5821

-63, 5841

-42, 5861

2, 5881

46, 5901

62, 5921

58, 5941

46, 5961

25, 5981

-6, 6001

-40, 6021

-59, 6041

-41, 6061

2, 6081

42, 6101

57, 6121

52, 6141

39, 6161

18, 6181

-12, 6201

-46, 6221

-57, 6241

-33, 6261

13, 6281

46, 6301

54, 6321

48, 6341

34, 6361

11, 6381

-20, 6401

-52, 6421

-54, 6441

-23, 6461

22, 6481

52, 6501

54, 6521

46, 6541

29, 6561

2, 6581

-30, 6601

-55, 6621

-47, 6641

-10, 6661

32, 6681

52, 6701

48, 6721

36, 6741

16, 6761

-14, 6781

-44, 6801

-54, 6821

-30, 6841

14, 6861

46, 6881

50, 6901

41, 6921

26, 6941

1, 6961

-30, 6981

-53, 7001

-43, 7021

-6, 7041

32, 7061

48, 7081

42, 7101

30, 7121

10, 7141

-18, 7161

-48, 7181

-49, 7201

-18, 7221

23, 7241

46, 7261

46, 7281

35, 7301

18, 7321

-10, 7341

-41, 7361

-52, 7381

-30, 7401

10, 7421

40, 7441

44, 7461

36, 7481

20, 7501

-4, 7521

-34, 7541

-52, 7561

-38, 7581

2, 7601

34, 7621

43, 7641

36, 7661

24, 7681

1, 7701

-28, 7721

-50, 7741

-40, 7761

-6, 7781

30, 7801

41, 7821

34, 7841

22, 7861

2, 7881

-26, 7901

-48, 7921

-40, 7941

-6, 7961

26, 7981

38, 8001

32, 8021

18, 8041

-2, 8061

-28, 8081

-46, 8101

-37, 8121

-2, 8141

27, 8161

34, 8181

27, 8201

14, 8221

-8, 8241

-34, 8261

-46, 8281

-29, 8301

6, 8321

29, 8341

29, 8361

20, 8381

4, 8401

-18, 8421

-42, 8441

-42, 8461

-16, 8481

15, 8501

29, 8521

24, 8541

12, 8561

-6, 8581

-30, 8601

-43, 8621

-30, 8641

2, 8661

22, 8681

22, 8701

13, 8721

-1, 8741

-22, 8761

-40, 8781

-35, 8801

-11, 8821

14, 8841

18, 8861

12, 8881

-1, 8901

-20, 8921

-36, 8941

-34, 8961

-15, 8981

4, 9001

8, 9021

1, 9041

-10, 9061

-24, 9081

-30, 9101

-22, 9121

-12, 9141

-8, 9161

-9, 9181

-10, 9201

-11, 9221

-12, 9241

-12, 9261

-12, 9281

-12, 9301

-13, 9321

-13, 9341

-13, 9361

-13, 9381

-13, 9401

-13, 9421

-13, 9441

-13, 9461

-13, 9481

-13, 9501

-13, 9521

-14, 9541

-13, 9561

-13, 9581

-13, 9601

-13, 9621

-13, 9641

-13, 9661

-14, 9681

-13, 9701

-13, 9721

-13, 9741

-13, 9761

-13, 9781

-13, 9801

-14, 9821

-13, 9841

-13, 9861

-13, 9881

-13, 9901

-13, 9921

-13, 9941

-13, 9961

-50, 10042

-67, 10062

-55, 10082

-14, 10102

38, 10122

end [2200]

start

-79, 11742

-94, 11762

-82, 11782

-38, 11802

26, 11822

78, 11842

102, 11862

100, 11882

90, 11902

69, 11922

40, 11942

3, 11962

-42, 11982

-72, 12002

-62, 12022

-22, 12042

34, 12062

70, 12082

79, 12102

71, 12122

56, 12142

33, 12162

1, 12182

-38, 12202

-63, 12222

-52, 12242

-10, 12262

39, 12282

66, 12302

66, 12322

56, 12342

38, 12362

12, 12382

-22, 12402

-56, 12422

-56, 12442

-26, 12462

25, 12482

58, 12502

63, 12522

54, 12542

39, 12562

14, 12582

-20, 12602

-53, 12622

-56, 12642

-25, 12662

22, 12682

54, 12702

58, 12722

51, 12742

34, 12762

10, 12782

-22, 12802

-53, 12822

-50, 12842

-16, 12862

29, 12882

54, 12902

54, 12922

46, 12942

27, 12962

2, 12982

-30, 13002

-54, 13022

-42, 13042

-2, 13062

